eventID,year,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters
00001-AMA100-2004,2004,-35.16817802,149.1192116,WGS84,30
00002-AMA100-2007,2007,-35.16817802,149.1192116,WGS84,30
00003-AMA100-2007,2007,-35.16817802,149.1192116,WGS84,30
00004-AMA100-2005,2005,-35.16817802,149.1192116,WGS84,30
00005-AMA100-2008,2008,-35.16817802,149.1192116,WGS84,30
00006-AMA100-2008,2008,-35.16817802,149.1192116,WGS84,30
00007-AMA100-2013,2013,-35.16817802,149.1192116,WGS84,30
00008-AMA100-2008,2008,-35.16817802,149.1192116,WGS84,30
00009-AMA100-2013,2013,-35.16817802,149.1192116,WGS84,30
00010-AMA100-2014,2014,-35.16817802,149.1192116,WGS84,30
00011-AMA100-2013,2013,-35.16817802,149.1192116,WGS84,30
00012-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00013-AMH100-2012,2012,-35.2353,149.045351,WGS84,30
00014-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00015-AMH100-2014,2014,-35.2353,149.045351,WGS84,30
00016-AMH100-2014,2014,-35.2353,149.045351,WGS84,30
00017-AMH100-2012,2012,-35.2353,149.045351,WGS84,30
00018-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00019-AMH100-2014,2014,-35.2353,149.045351,WGS84,30
00020-AMH100-2014,2014,-35.2353,149.045351,WGS84,30
00021-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00022-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00023-AMH100-2013,2013,-35.2353,149.045351,WGS84,30
00024-ANB100-2014,2014,-35.27813,149.11009,WGS84,30
00025-ANB100-2014,2014,-35.27813,149.11009,WGS84,30
00026-ANB100-2012,2012,-35.27813,149.11009,WGS84,30
00027-ANB100-2013,2013,-35.27813,149.11009,WGS84,30
00028-ANB100-2013,2013,-35.27813,149.11009,WGS84,30
00029-ANB100-2012,2012,-35.27813,149.11009,WGS84,30
00030-ANB100-2011,2011,-35.27813,149.11009,WGS84,30
00031-ANU004-2006,2006,-35.28054665,149.1116922,WGS84,30
00032-ANU004-2010,2010,-35.28054665,149.1116922,WGS84,30
00033-ANU004-2006,2006,-35.28054665,149.1116922,WGS84,30
00034-ANU004-2006,2006,-35.28054665,149.1116922,WGS84,30
00035-ANU004-2011,2011,-35.28054665,149.1116922,WGS84,30
00036-ANU004-2007,2007,-35.28054665,149.1116922,WGS84,30
00037-ANU004-2007,2007,-35.28054665,149.1116922,WGS84,30
00038-ANU004-2011,2011,-35.28054665,149.1116922,WGS84,30
00039-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00040-ANU004-2007,2007,-35.28054665,149.1116922,WGS84,30
00041-ANU004-2010,2010,-35.28054665,149.1116922,WGS84,30
00042-ANU004-2005,2005,-35.28054665,149.1116922,WGS84,30
00043-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00044-ANU004-2012,2012,-35.28054665,149.1116922,WGS84,30
00045-ANU004-2012,2012,-35.28054665,149.1116922,WGS84,30
00046-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00047-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00048-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00049-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00050-ANU004-2013,2013,-35.28054665,149.1116922,WGS84,30
00051-ANU004-2007,2007,-35.28054665,149.1116922,WGS84,30
00052-ANU004-2014,2014,-35.28054665,149.1116922,WGS84,30
00053-ANU018-2010,2010,-35.2819,149.1121,WGS84,30
00054-ANU018-2007,2007,-35.2819,149.1121,WGS84,30
00055-ANU018-2014,2014,-35.2819,149.1121,WGS84,30
00056-ANU018-2009,2009,-35.2819,149.1121,WGS84,30
00057-ANU018-2011,2011,-35.2819,149.1121,WGS84,30
00058-ANU018-2013,2013,-35.2819,149.1121,WGS84,30
00059-ANU018-2007,2007,-35.2819,149.1121,WGS84,30
00060-ANU018-2013,2013,-35.2819,149.1121,WGS84,30
00061-ANU018-2013,2013,-35.2819,149.1121,WGS84,30
00062-ANU018-2013,2013,-35.2819,149.1121,WGS84,30
00063-ANU018-2010,2010,-35.2819,149.1121,WGS84,30
00064-ANU018-2006,2006,-35.2819,149.1121,WGS84,30
00065-ANU018-2005,2005,-35.2819,149.1121,WGS84,30
00066-ANU018-2006,2006,-35.2819,149.1121,WGS84,30
00067-ANU018-2006,2006,-35.2819,149.1121,WGS84,30
00068-ANU018-2006,2006,-35.2819,149.1121,WGS84,30
00069-ANU018-2012,2012,-35.2819,149.1121,WGS84,30
00070-ANU018-2011,2011,-35.2819,149.1121,WGS84,30
00071-ANU019-2007,2007,-35.2797,149.1151,WGS84,30
00072-ANU019-2006,2006,-35.2797,149.1151,WGS84,30
00073-ANU019-2011,2011,-35.2797,149.1151,WGS84,30
00074-ANU019-2005,2005,-35.2797,149.1151,WGS84,30
00075-ANU019-2006,2006,-35.2797,149.1151,WGS84,30
00076-ANU019-2005,2005,-35.2797,149.1151,WGS84,30
00077-ANU019-2011,2011,-35.2797,149.1151,WGS84,30
00078-ANU019-2009,2009,-35.2797,149.1151,WGS84,30
00079-ANU019-2005,2005,-35.2797,149.1151,WGS84,30
00080-ANU019-2006,2006,-35.2797,149.1151,WGS84,30
00081-ANU019-2006,2006,-35.2797,149.1151,WGS84,30
00082-ANU019-2005,2005,-35.2797,149.1151,WGS84,30
00083-ANU019-2013,2013,-35.2797,149.1151,WGS84,30
00084-ANU019-2014,2014,-35.2797,149.1151,WGS84,30
00085-ANU019-2007,2007,-35.2797,149.1151,WGS84,30
00086-ANU019-2013,2013,-35.2797,149.1151,WGS84,30
00087-ANU019-2010,2010,-35.2797,149.1151,WGS84,30
00088-ANU019-2012,2012,-35.2797,149.1151,WGS84,30
00089-ANU019-2010,2010,-35.2797,149.1151,WGS84,30
00090-ANU019-2006,2006,-35.2797,149.1151,WGS84,30
00091-ANU019-2010,2010,-35.2797,149.1151,WGS84,30
00092-ANU019-2013,2013,-35.2797,149.1151,WGS84,30
00093-ANU020-2007,2007,-35.2796,149.1169,WGS84,30
00094-ANU020-2012,2012,-35.2796,149.1169,WGS84,30
00095-ANU020-2007,2007,-35.2796,149.1169,WGS84,30
00096-ANU020-2006,2006,-35.2796,149.1169,WGS84,30
00097-ANU020-2006,2006,-35.2796,149.1169,WGS84,30
00098-ANU020-2011,2011,-35.2796,149.1169,WGS84,30
00099-ANU020-2009,2009,-35.2796,149.1169,WGS84,30
00100-ANU020-2009,2009,-35.2796,149.1169,WGS84,30
00101-ANU020-2013,2013,-35.2796,149.1169,WGS84,30
00102-ANU020-2011,2011,-35.2796,149.1169,WGS84,30
00103-ANU020-2013,2013,-35.2796,149.1169,WGS84,30
00104-ANU020-2005,2005,-35.2796,149.1169,WGS84,30
00105-ANU020-2013,2013,-35.2796,149.1169,WGS84,30
00106-ANU020-2014,2014,-35.2796,149.1169,WGS84,30
00107-ANU020-2010,2010,-35.2796,149.1169,WGS84,30
00108-ANU020-2006,2006,-35.2796,149.1169,WGS84,30
00109-ANU020-2006,2006,-35.2796,149.1169,WGS84,30
00110-ANU020-2010,2010,-35.2796,149.1169,WGS84,30
00111-ANU020-2005,2005,-35.2796,149.1169,WGS84,30
00112-ANU020-2005,2005,-35.2796,149.1169,WGS84,30
00113-ANU020-2005,2005,-35.2796,149.1169,WGS84,30
00114-ANU021-2009,2009,-35.2779,149.1191,WGS84,30
00115-ANU021-2011,2011,-35.2779,149.1191,WGS84,30
00116-ANU021-2005,2005,-35.2779,149.1191,WGS84,30
00117-ANU021-2005,2005,-35.2779,149.1191,WGS84,30
00118-ANU021-2007,2007,-35.2779,149.1191,WGS84,30
00119-ANU021-2009,2009,-35.2779,149.1191,WGS84,30
00120-ANU021-2014,2014,-35.2779,149.1191,WGS84,30
00121-ANU021-2005,2005,-35.2779,149.1191,WGS84,30
00122-ANU021-2011,2011,-35.2779,149.1191,WGS84,30
00123-ANU021-2013,2013,-35.2779,149.1191,WGS84,30
00124-ANU021-2013,2013,-35.2779,149.1191,WGS84,30
00125-ANU021-2007,2007,-35.2779,149.1191,WGS84,30
00126-ANU021-2013,2013,-35.2779,149.1191,WGS84,30
00127-ANU021-2006,2006,-35.2779,149.1191,WGS84,30
00128-ANU021-2014,2014,-35.2779,149.1191,WGS84,30
00129-ANU021-2012,2012,-35.2779,149.1191,WGS84,30
00130-ANU021-2005,2005,-35.2779,149.1191,WGS84,30
00131-ANU021-2011,2011,-35.2779,149.1191,WGS84,30
00132-ANU021-2010,2010,-35.2779,149.1191,WGS84,30
00133-ANU022-2011,2011,-35.27858645,149.1201613,WGS84,30
00134-ANU022-2011,2011,-35.27858645,149.1201613,WGS84,30
00135-ANU022-2014,2014,-35.27858645,149.1201613,WGS84,30
00136-ANU022-2006,2006,-35.27858645,149.1201613,WGS84,30
00137-ANU022-2005,2005,-35.27858645,149.1201613,WGS84,30
00138-ANU022-2010,2010,-35.27858645,149.1201613,WGS84,30
00139-ANU022-2014,2014,-35.27858645,149.1201613,WGS84,30
00140-ANU022-2007,2007,-35.27858645,149.1201613,WGS84,30
00141-ANU022-2012,2012,-35.27858645,149.1201613,WGS84,30
00142-ANU022-2013,2013,-35.27858645,149.1201613,WGS84,30
00143-ANU022-2005,2005,-35.27858645,149.1201613,WGS84,30
00144-ANU022-2011,2011,-35.27858645,149.1201613,WGS84,30
00145-ANU022-2007,2007,-35.27858645,149.1201613,WGS84,30
00146-ANU022-2005,2005,-35.27858645,149.1201613,WGS84,30
00147-ANU022-2013,2013,-35.27858645,149.1201613,WGS84,30
00148-ANU022-2005,2005,-35.27858645,149.1201613,WGS84,30
00149-ANU022B-2010,2010,-35.27858625,149.1201723,WGS84,30
00150-ANU022B-2006,2006,-35.27858625,149.1201723,WGS84,30
00151-ANU022B-2006,2006,-35.27858625,149.1201723,WGS84,30
00152-ANU022B-2006,2006,-35.27858625,149.1201723,WGS84,30
00153-ANU023-2005,2005,-35.2754,149.1235,WGS84,30
00154-ANU023-2005,2005,-35.2754,149.1235,WGS84,30
00155-ANU023-2005,2005,-35.2754,149.1235,WGS84,30
00156-ANU023-2006,2006,-35.2754,149.1235,WGS84,30
00157-ANU023-2009,2009,-35.2754,149.1235,WGS84,30
00158-ANU023-2007,2007,-35.2754,149.1235,WGS84,30
00159-ANU023-2010,2010,-35.2754,149.1235,WGS84,30
00160-ANU023-2013,2013,-35.2754,149.1235,WGS84,30
00161-ANU023-2005,2005,-35.2754,149.1235,WGS84,30
00162-ANU023-2011,2011,-35.2754,149.1235,WGS84,30
00163-ANU023-2012,2012,-35.2754,149.1235,WGS84,30
00164-ANU023-2014,2014,-35.2754,149.1235,WGS84,30
00165-ANU023-2007,2007,-35.2754,149.1235,WGS84,30
00166-ANU023-2012,2012,-35.2754,149.1235,WGS84,30
00167-ANU023-2012,2012,-35.2754,149.1235,WGS84,30
00168-ANU023-2013,2013,-35.2754,149.1235,WGS84,30
00169-ANU023-2011,2011,-35.2754,149.1235,WGS84,30
00170-ANU023-2014,2014,-35.2754,149.1235,WGS84,30
00171-ANU023-2011,2011,-35.2754,149.1235,WGS84,30
00172-ANU041-2013,2013,-35.28363322,149.1156204,WGS84,30
00173-ANU041-2012,2012,-35.28363322,149.1156204,WGS84,30
00174-ANU041-2011,2011,-35.28363322,149.1156204,WGS84,30
00175-ANU041-2011,2011,-35.28363322,149.1156204,WGS84,30
00176-ANU041-2007,2007,-35.28363322,149.1156204,WGS84,30
00177-ANU041-2005,2005,-35.28363322,149.1156204,WGS84,30
00178-ANU041-2006,2006,-35.28363322,149.1156204,WGS84,30
00179-ANU041-2007,2007,-35.28363322,149.1156204,WGS84,30
00180-ANU042-2013,2013,-35.27963597,149.1122182,WGS84,30
00181-ANU042-2007,2007,-35.27963597,149.1122182,WGS84,30
00182-ANU042-2014,2014,-35.27963597,149.1122182,WGS84,30
00183-ANU042-2013,2013,-35.27963597,149.1122182,WGS84,30
00184-ANU042-2011,2011,-35.27963597,149.1122182,WGS84,30
00185-ANU042-2011,2011,-35.27963597,149.1122182,WGS84,30
00186-ANU042-2013,2013,-35.27963597,149.1122182,WGS84,30
00187-ANU042-2011,2011,-35.27963597,149.1122182,WGS84,30
00188-ANU042-2012,2012,-35.27963597,149.1122182,WGS84,30
00189-ANU042-2012,2012,-35.27963597,149.1122182,WGS84,30
00190-ARA017-2010,2010,-35.2643,149.0836,WGS84,30
00191-ARA017-2007,2007,-35.2643,149.0836,WGS84,30
00192-ARA017-2011,2011,-35.2643,149.0836,WGS84,30
00193-ARA017-2010,2010,-35.2643,149.0836,WGS84,30
00194-ARA017-2010,2010,-35.2643,149.0836,WGS84,30
00195-ARA017-2009,2009,-35.2643,149.0836,WGS84,30
00196-ARA017-2007,2007,-35.2643,149.0836,WGS84,30
00197-ARA017-2010,2010,-35.2643,149.0836,WGS84,30
00198-ARA017-2008,2008,-35.2643,149.0836,WGS84,30
00199-ARA017-2008,2008,-35.2643,149.0836,WGS84,30
00200-ARA100-2010,2010,-35.2764,149.0779,WGS84,30
00201-ARA100-2006,2006,-35.2764,149.0779,WGS84,30
00202-ARA100-2009,2009,-35.2764,149.0779,WGS84,30
00203-ARA100-2007,2007,-35.2764,149.0779,WGS84,30
00204-ARA100-2010,2010,-35.2764,149.0779,WGS84,30
00205-ARA100-2005,2005,-35.2764,149.0779,WGS84,30
00206-ARA100-2006,2006,-35.2764,149.0779,WGS84,30
00207-ARA100-2014,2014,-35.2764,149.0779,WGS84,30
00208-ARA100-2013,2013,-35.2764,149.0779,WGS84,30
00209-ARA100-2008,2008,-35.2764,149.0779,WGS84,30
00210-ARA100-2012,2012,-35.2764,149.0779,WGS84,30
00211-ARA100-2009,2009,-35.2764,149.0779,WGS84,30
00212-ARA100-2010,2010,-35.2764,149.0779,WGS84,30
00213-ARA100-2008,2008,-35.2764,149.0779,WGS84,30
00214-ARA100-2010,2010,-35.2764,149.0779,WGS84,30
00215-ARA100-2011,2011,-35.2764,149.0779,WGS84,30
00216-ARA200-2012,2012,-35.273,149.0775,WGS84,30
00217-ARA200-2014,2014,-35.273,149.0775,WGS84,30
00218-ARA200-2011,2011,-35.273,149.0775,WGS84,30
00219-ARA200-2013,2013,-35.273,149.0775,WGS84,30
00220-ARA200-2010,2010,-35.273,149.0775,WGS84,30
00221-ARA200-2009,2009,-35.273,149.0775,WGS84,30
00222-ARA300-2014,2014,-35.27467767,149.0862557,WGS84,30
00223-ARA300-2004,2004,-35.27467767,149.0862557,WGS84,30
00224-ARA300-2013,2013,-35.27467767,149.0862557,WGS84,30
00225-ARA300-2010,2010,-35.27467767,149.0862557,WGS84,30
00226-ARA300-2003,2003,-35.27467767,149.0862557,WGS84,30
00227-ARA300-2011,2011,-35.27467767,149.0862557,WGS84,30
00228-ARA300-2012,2012,-35.27467767,149.0862557,WGS84,30
00229-ARA300-2009,2009,-35.27467767,149.0862557,WGS84,30
00230-ARA300-2010,2010,-35.27467767,149.0862557,WGS84,30
00231-BAR050-2011,2011,-35.380244,149.23234,WGS84,30
00232-BAR050-2010,2010,-35.380244,149.23234,WGS84,30
00233-BAR050-2011,2011,-35.380244,149.23234,WGS84,30
00234-BAR050-2014,2014,-35.380244,149.23234,WGS84,30
00235-BAR050-2013,2013,-35.380244,149.23234,WGS84,30
00236-BAR200-2006,2006,-35.3758911,149.236853,WGS84,30
00237-BAR200-2013,2013,-35.3758911,149.236853,WGS84,30
00238-BAR200-2013,2013,-35.3758911,149.236853,WGS84,30
00239-BAR200-2004,2004,-35.3758911,149.236853,WGS84,30
00240-BAR200-2006,2006,-35.3758911,149.236853,WGS84,30
00241-BAR200-2013,2013,-35.3758911,149.236853,WGS84,30
00242-BAR200-2006,2006,-35.3758911,149.236853,WGS84,30
00243-BAR200-2006,2006,-35.3758911,149.236853,WGS84,30
00244-BAR200-2006,2006,-35.3758911,149.236853,WGS84,30
00245-BAR200-2014,2014,-35.3758911,149.236853,WGS84,30
00246-BAR201-2013,2013,-35.376929,149.23651,WGS84,30
00247-BAR201-2006,2006,-35.376929,149.23651,WGS84,30
00248-BAR201-2013,2013,-35.376929,149.23651,WGS84,30
00249-BAR201-2006,2006,-35.376929,149.23651,WGS84,30
00250-BAR201-2006,2006,-35.376929,149.23651,WGS84,30
00251-BIL100-2007,2007,-35.23402727,149.1552596,WGS84,30
00252-BIL100-2007,2007,-35.23402727,149.1552596,WGS84,30
00253-BIL100-2005,2005,-35.23402727,149.1552596,WGS84,30
00254-BIL100-2013,2013,-35.23402727,149.1552596,WGS84,30
00255-BIL100-2010,2010,-35.23402727,149.1552596,WGS84,30
00256-BIL100-2014,2014,-35.23402727,149.1552596,WGS84,30
00257-BIL100-2010,2010,-35.23402727,149.1552596,WGS84,30
00258-BIL100-2014,2014,-35.23402727,149.1552596,WGS84,30
00259-BIN100-2013,2013,-35.4775,149.1986011,WGS84,30
00260-BIN100-2008,2008,-35.4775,149.1986011,WGS84,30
00261-BIN100-2014,2014,-35.4775,149.1986011,WGS84,30
00262-BIN100-2008,2008,-35.4775,149.1986011,WGS84,30
00263-BIN100-2007,2007,-35.4775,149.1986011,WGS84,30
00264-BIN100-2007,2007,-35.4775,149.1986011,WGS84,30
00265-BIN110-2013,2013,-35.47778017,149.1986016,WGS84,30
00266-BIN110-2014,2014,-35.47778017,149.1986016,WGS84,30
00267-BIN110-2008,2008,-35.47778017,149.1986016,WGS84,30
00268-BIN200-2008,2008,-35.47639,149.199444,WGS84,30
00269-BIN200-2013,2013,-35.47639,149.199444,WGS84,30
00270-BIN200-2014,2014,-35.47639,149.199444,WGS84,30
00271-BIN200-2007,2007,-35.47639,149.199444,WGS84,30
00272-BLA100-2005,2005,-35.29952866,149.0125347,WGS84,30
00273-BLA100-2006,2006,-35.29952866,149.0125347,WGS84,30
00274-BLA100-2006,2006,-35.29952866,149.0125347,WGS84,30
00275-BLA100-2005,2005,-35.29952866,149.0125347,WGS84,30
00276-BLA100-2006,2006,-35.29952866,149.0125347,WGS84,30
00277-BLU100-2012,2012,-35.32027247,148.8316862,WGS84,30
00278-BLU100-2006,2006,-35.32027247,148.8316862,WGS84,30
00279-BLU100-2011,2011,-35.32027247,148.8316862,WGS84,30
00280-BLU100-2013,2013,-35.32027247,148.8316862,WGS84,30
00281-BLU100-2014,2014,-35.32027247,148.8316862,WGS84,30
00282-BLU200-2012,2012,-35.31983018,148.8311262,WGS84,30
00283-BLU200-2013,2013,-35.31983018,148.8311262,WGS84,30
00284-BLU200-2011,2011,-35.31983018,148.8311262,WGS84,30
00285-BLU200-2006,2006,-35.31983018,148.8311262,WGS84,30
00286-BLU200-2014,2014,-35.31983018,148.8311262,WGS84,30
00287-BLU300-2006,2006,-35.31847833,148.8310957,WGS84,30
00288-BLU300-2014,2014,-35.31847833,148.8310957,WGS84,30
00289-BLU300-2011,2011,-35.31847833,148.8310957,WGS84,30
00290-BLU300-2012,2012,-35.31847833,148.8310957,WGS84,30
00291-BLU400-2006,2006,-35.3157663,148.8315845,WGS84,30
00292-BLU400-2012,2012,-35.3157663,148.8315845,WGS84,30
00293-BLU400-2011,2011,-35.3157663,148.8315845,WGS84,30
00294-BLU400-2014,2014,-35.3157663,148.8315845,WGS84,30
00295-BMT100-2012,2012,-35.27264782,149.0889518,WGS84,30
00296-BMT100-2010,2010,-35.27264782,149.0889518,WGS84,30
00297-BMT100-2011,2011,-35.27264782,149.0889518,WGS84,30
00298-BMT100-2012,2012,-35.27264782,149.0889518,WGS84,30
00299-BMT100-2011,2011,-35.27264782,149.0889518,WGS84,30
00300-BMT100-2012,2012,-35.27264782,149.0889518,WGS84,30
00301-BMT100-2010,2010,-35.27264782,149.0889518,WGS84,30
00302-BMT100-2011,2011,-35.27264782,149.0889518,WGS84,30
00303-BMT100-2013,2013,-35.27264782,149.0889518,WGS84,30
00304-BMT100-2006,2006,-35.27264782,149.0889518,WGS84,30
00305-BMT100-2010,2010,-35.27264782,149.0889518,WGS84,30
00306-BON100-2008,2008,-35.4291,149.0733,WGS84,30
00307-BON100-2007,2007,-35.4291,149.0733,WGS84,30
00308-BON100-2013,2013,-35.4291,149.0733,WGS84,30
00309-BON100-2004,2004,-35.4291,149.0733,WGS84,30
00310-BON100-2008,2008,-35.4291,149.0733,WGS84,30
